State,Unemployment Rate 2023
United States,3.6
Alabama,2.5
Alaska,4.2
Arizona,3.9
Arkansas,3.3
California,4.8
Colorado,3.2
Connecticut,3.8
Delaware,4.0
District of Columbia,4.9
Florida,2.9
Georgia,3.2
Hawaii,3.0
Idaho,3.1
Illinois,4.5
Indiana,3.3
Iowa,2.9
Kansas,2.7
Kentucky,4.2
Louisiana,3.7
Maine,2.9
Maryland,2.1
Massachusetts,3.4
Michigan,3.9
Minnesota,2.8
Mississippi,3.2
Missouri,3.0
Montana,2.9
Nebraska,2.3
Nevada,5.1
New Hampshire,2.2
New Jersey,4.4
New Mexico,3.8
New York,4.2
North Carolina,3.5
North Dakota,1.9
Ohio,3.5
Oklahoma,3.2
Oregon,3.7
Pennsylvania,3.4
Rhode Island,3.0
South Carolina,3.0
South Dakota,2.0
Tennessee,3.3
Texas,3.9
Utah,2.6
Vermont,2.0
Virginia,2.9
Washington,4.1
West Virginia,3.9
Wisconsin,3.0
Wyoming,2.9
,
Source: Bureau of Labor Statistics,
